github.com/AlDanial/cloc v 2.06  T=0.34 s (1995.2 files/s, 92485.6 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                              blank        comment           code
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/admin/SincronizacaoController.java                                                4              0             38
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/services/impl/AuthenticationContactServiceImpl.java                                     6              0             37
./deploy/messenger_lib/install.sh                                                                                                                                     9              8             37
./README.md                                                                                                                                                          15              0             36
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/facades/impl/AuthManagementFacadeImpl.java                                              4              0             36
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/facades/admin/impl/ArencoTitulosAReceberFacadeImpl.java                                       6              0             36
./deploy/autenticacao-lib/install.sh                                                                                                                                  8              8             36
./deploy/dtos/install.sh                                                                                                                                              8              8             36
./deploy/models/install.sh                                                                                                                                            8              8             36
./deploy/sync_lib/install.sh                                                                                                                                          8              8             36
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/facades/impl/AddressFacadeImpl.java                                                             4              0             35
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/facades/admin/impl/ArencoContratosFacadeImpl.java                                             5              0             35
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/facades/admin/impl/ArencoTitulosRecebidosFacadeImpl.java                                      6              0             35
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/PaymentSlipSettingsModel.java                                                         3              0             35
./mobile/arenco-app/android/app/src/main/AndroidManifest.xml                                                                                                          1             10             35
./backend/arenco-clientes/src/main/resources/logback-spring.xml                                                                                                       5              3             34
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/customer/ContratosCustomerController.java                                         3              0             34
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/facades/impl/ArencoAuthLibUserFacadeImpl.java                              5              0             34
./backend/libs/sync_lib/src/main/java/br/com/arenco/sync_lib/services/impl/JobInfoModelServiceImpl.java                                                               4              0             34
./deploy/autenticacao/package.sh                                                                                                                                      6              5             34
./deploy/clientes/package.sh                                                                                                                                          6              5             34
./deploy/contratos/package.sh                                                                                                                                         6              5             34
./deploy/cronjobs/package.sh                                                                                                                                          6              5             34
./deploy/notifications/package.sh                                                                                                                                     6              4             34
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/aop/PerformanceCheckAspect.java                                                         7              0             33
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/facades/impl/ContactPreferenceFacadeImpl.java                                                   4              0             33
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/facades/impl/CustomerFacadeImpl.java                                                            4              0             33
./backend/arenco-cronjobs/src/main/java/br/com/arenco/arenco_cronjobs/jobs/ArencoSyncCronjob.java                                                                     7              0             33
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/DataSeederStrategyList.java                                                    3              0             33
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/BoletoFileDtoFactory.java                                                                2              0             33
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/services/impl/AdminUsersServiceImpl.java                                                5              0             32
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/SMSModel.java                                                                         3              0             32
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/UserModel.java                                                                        4              0             32
./frontend/clientes/src/components/EssentialLink.vue                                                                                                                  3              0             32
./.github/workflows/install-libs-at-cronjobs-vm.yml                                                                                                                   8              0             31
./.github/workflows/install-libs-at-webservices-vm.yml                                                                                                                8              0             31
./.github/workflows/run-data-seeder.yml                                                                                                                               8              0             31
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/validations/register/validators/ContactValidator.java                                           5              0             31
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/filters/ArencoRequestContextFilter.java                                    6              2             31
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/LoginOtpModel.java                                                                   10              0             31
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/services/admin/impl/ArencoTitulosAReceberServiceImpl.java                                     5             16             30
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/services/admin/impl/ArencoTitulosRecebidosServiceImpl.java                                    5             14             30
./backend/notifications/src/main/java/br/com/arenco/notifications/facades/impl/ArencoMessengerFacadeImpl.java                                                         4              0             30
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/facades/impl/ContactFacadeImpl.java                                                             3              0             29
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/services/contact/impl/ContactServiceImpl.java                                                   4              0             29
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/services/users/impl/UserGroupServiceImpl.java                                                   3              0             29
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/mappers/PaymentSlipSettingsMapper.java                                                        4              0             29
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/PaymentSlipSettingsDtoFactory.java                                                       2              0             29
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/TituloAReceberDtoFactory.java                                                            2              0             29
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/TituloRecebidoDtoFactory.java                                                            2              0             29
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/AddressModel.java                                                                    11              0             29
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/PreSessionOtpModel.java                                                              10              0             29
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/utils/CpfFormatter.java                                                                         4              0             28
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/dtos/agreements/BoletoFileDto.java                                                                 2              0             28
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/ContactDtoFactory.java                                                                   5              0             28
./backend/pom.xml                                                                                                                                                     0              1             28
./frontend/admin/src/composables/useColunasTitulos.ts                                                                                                                 1              0             28
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/services/admin/impl/ArencoContratosServiceImpl.java                                           4              0             27
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/dtos/settings/PaymentSlipSettingsDto.java                                                          2              0             27
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/ContactPreferenceModel.java                                                           5              0             27
./backend/libs/arenco-models/src/main/java/br/com/arenco/arenco_models/entities/EmailModel.java                                                                       3              0             27
